alpha,alpha3,batch_size,critic1_error,critic2_error,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
1.016315,0.5,256,16139.103,13105.394,55.21794068278384,-93.30381,1000.0,2528.7994775754432,-2495.365943401859,1.0,9.966733333333334e-05,0.000299002,0.000299002,11.52947,375.6572,-2,0.005,1000,626.0
1.0224793,,,8651.307,7128.0117,27.82187668105752,-56.945107,1000.0,2145.452617034045,-2095.336358456774,1.0,9.933400000000001e-05,0.00029800199999999996,0.00029800199999999996,46.41619,436.80115,,,2000,573.0
1.027749,,,5982.6094,4975.3965,20.875051893224036,-42.80012,1000.0,2713.424005108341,-2120.52979693492,1.0,9.900066666666668e-05,0.000297002,0.000297002,54.357594,481.38065,,,3000,579.6666666666666
1.0324605,,,4660.6157,3910.1333,15.656288919918028,-34.151695,1000.0,2346.3093145761422,-2115.921659582191,1.0,9.866733333333333e-05,0.00029600199999999996,0.00029600199999999996,60.30392,509.2704,,,4000,547.5
1.0363867,,,3828.8313,3228.3257,12.525031135934423,-28.4461,1000.0,1883.6974360475404,-2056.8310498216515,1.0,9.8334e-05,0.000295002,0.000295002,61.288055,519.7228,,,5000,467.4
1.0397581,,,3256.0002,2753.573,10.437525946612018,-24.364515,1000.0,1579.3309352236495,-2029.7197682476217,1.0,9.800066666666668e-05,0.00029400199999999997,0.00029400199999999997,60.03821,515.1908,,,6000,427.8333333333333
1.042233,,,2843.567,2412.4543,8.94645081138173,-20.988047,1000.0,1360.302398524123,-2025.7637899248932,1.0,9.766733333333333e-05,0.00029300199999999994,0.00029300199999999994,58.862576,502.23734,,,7000,401.14285714285717
1.043537,,,2555.344,2178.2754,7.828144459959014,-18.371038,1000.0,1190.7442009275037,-2006.3704603779245,1.0,9.7334e-05,0.000292002,0.000292002,59.63588,483.9289,,,8000,361.875
1.04378,,,2297.6333,1963.822,6.958350631074679,-16.325401,1000.0,1058.4394068830966,-1959.4668878739421,1.0,9.700066666666667e-05,0.000291002,0.000291002,58.173775,464.29904,,,9000,339.55555555555554
1.0431147,,,2086.4702,1787.2957,6.2625155679672115,-14.702673,1000.0,952.5957897685446,-1912.221942094517,1.0,9.666733333333335e-05,0.000290002,0.000290002,56.62374,443.18475,,,10000,359.7
1.0442044,,,501.92563,506.10938,0.7407214996888268,-5.4053454,1000.0,699.7160138779191,-1814.9328216246795,1.0,9.6334e-05,0.00028900199999999995,0.00028900199999999995,59.57831,426.30307,,,11000,329.2
1.0428793,,,398.10934,404.0798,0.6981402317557067,-3.374886,1000.0,523.5056241398973,-1796.9252794486408,1.0,9.600066666666667e-05,0.000288002,0.000288002,55.41231,393.76044,,,12000,312.1
1.0391142,,,339.33203,343.06046,0.0,-1.9510247,1000.0,138.56913102205826,-1730.4326933225516,1.0,9.566733333333334e-05,0.000287002,0.000287002,52.04817,351.008,,,13000,293.5
1.0326283,,,284.74643,286.3994,0.0,-1.1433085,1000.0,14.0727194301728,-1669.037360537583,1.0,9.5334e-05,0.000286002,0.000286002,48.099678,303.85324,,,14000,288.1
1.0231978,,,237.5046,239.3189,0.0,-0.5825539,1000.0,10.747853871274376,-1637.3181834973204,1.0,9.500066666666667e-05,0.00028500199999999997,0.00028500199999999997,44.700325,257.13736,,,15000,307.0
1.0104498,,,200.42119,203.39787,0.0,-0.1822721,1000.0,4.998127421407896,-1598.9990275673322,1.0,9.466733333333334e-05,0.000284002,0.000284002,42.200645,216.03378,,,16000,315.5
0.9944394,,,165.10498,168.46992,3.5339342076806313e-08,-0.10398915,1000.0,0.38516557428023507,-1553.5045753494717,1.0,9.4334e-05,0.00028300199999999997,0.00028300199999999997,39.38618,180.4241,,,17000,317.2
