alpha,alpha3,batch_size,critic1_error,critic2_error,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
1.017027,0.5,256,1324.0154,934.11664,0.0013300143585918195,-32.820805,1000.0,132.95903734317176,-1231.9967465289242,1.0,9.966733333333334e-05,0.000299002,0.000299002,90.81169,230.65318,-2,0.005,1000,279.0
1.0267851,,,827.7648,635.5695,0.0006650071792959097,-22.744896,1000.0,110.1960624123049,-1603.20042719406,1.0,9.933400000000001e-05,0.00029800199999999996,0.00029800199999999996,68.61195,257.87512,,,2000,236.0
1.036015,,,671.81323,547.12177,0.0004433381195306065,-18.327723,1000.0,73.46958115042283,-1671.5338345626249,1.0,9.900066666666668e-05,0.000297002,0.000297002,62.574005,280.3909,,,3000,161.66666666666666
1.0450679,,,607.3553,515.7187,0.00033250358964795486,-15.656452,1000.0,56.387565043566916,-1694.8981385393336,1.0,9.866733333333333e-05,0.00029600199999999996,0.00029600199999999996,53.776028,289.36853,,,4000,143.5
1.0541446,,,562.9671,490.58472,0.0002660028717183639,-13.865356,1000.0,56.56451343646154,-1711.819614211216,1.0,9.8334e-05,0.000295002,0.000295002,47.68815,292.31668,,,5000,150.8
1.0633695,,,541.3518,480.64426,0.00022166905976530324,-12.299022,1000.0,65.94721926341295,-1717.8882721253487,1.0,9.800066666666668e-05,0.00029400199999999997,0.00029400199999999997,43.373486,293.76785,,,6000,171.5
1.0699307,,,547.08856,493.40555,0.002722103636804092,-10.64801,1000.0,63.506900981559056,-1698.9504974563654,1.0,9.766733333333333e-05,0.00029300199999999994,0.00029300199999999994,40.54684,289.0147,,,7000,187.14285714285714
1.0733192,,,525.7247,477.06317,0.0023818406822035806,-9.372339,1000.0,59.73338431934769,-1675.8499768674765,1.0,9.7334e-05,0.000292002,0.000292002,38.01248,281.79562,,,8000,185.125
1.0741189,,,506.83704,462.48523,0.0021171917175142937,-8.354213,1000.0,53.096460589337795,-1667.4325665622416,1.0,9.700066666666667e-05,0.000291002,0.000291002,35.240322,271.7411,,,9000,175.44444444444446
1.0727307,,,477.05597,436.93732,0.0019055726964530505,-7.554962,1000.0,47.786972021471954,-1657.5615683330175,1.0,9.666733333333335e-05,0.000290002,0.000290002,32.569942,260.0757,,,10000,242.4
1.0749197,,,354.15323,353.15128,0.0017726324939379024,-4.335702,1000.0,34.491164571694014,-1689.2473341586763,1.0,9.6334e-05,0.00028900199999999995,0.00028900199999999995,24.689564,249.66463,,,11000,294.4
1.072777,,,329.83456,328.41742,0.0017726324939379024,-3.123104,1000.0,25.74799851306302,-1645.1569235573418,1.0,9.600066666666667e-05,0.000288002,0.000288002,21.10139,231.43697,,,12000,299.3
1.0660499,,,299.1469,296.92242,0.0017727486433375486,-2.2263927,1000.0,25.746440358950544,-1617.4669801242885,1.0,9.566733333333334e-05,0.000287002,0.000287002,17.001343,207.42862,,,13000,338.5
1.054014,,,260.02905,257.2576,0.0017727486433375488,-1.4833734,1000.0,25.232445827121882,-1597.3803230964122,1.0,9.5334e-05,0.000286002,0.000286002,15.079672,182.86375,,,14000,356.6
1.0359851,,,223.32712,220.20078,0.0017731162417304546,-0.811061,1000.0,19.505491220648366,-1583.2214847990363,1.0,9.500066666666667e-05,0.00028500199999999997,0.00028500199999999997,13.618566,158.30798,,,15000,371.2
1.0116283,,,181.17786,178.51324,0.0017731162417304546,-0.33685458,1000.0,8.219773165496768,-1587.5288163167893,1.0,9.466733333333334e-05,0.000284002,0.000284002,12.405297,133.21211,,,16000,359.5
0.9828637,,,124.32324,123.09666,6.451318267722713e-07,-0.21666357,1000.0,17.199862863598508,-1648.4164240661823,1.0,9.4334e-05,0.00028300199999999997,0.00028300199999999997,10.495916,111.508705,,,17000,362.4
0.950977,,,87.71686,88.069885,6.451318267722712e-07,-0.09284939,1000.0,14.85688561827034,-1658.6144256876075,1.0,9.400066666666668e-05,0.00028200199999999995,0.00028200199999999995,9.155727,92.744576,,,18000,354.2
0.9166438,,,53.142517,54.61782,0.005752784161411032,0.01775887,1000.0,15.954330668519594,-1646.3218590837405,1.0,9.366733333333334e-05,0.000281002,0.000281002,9.348929,78.24138,,,19000,358.0
0.8806286,,,33.53043,35.34858,0.005752684010720845,0.14773455,1000.0,17.934034277332763,-1612.9720830808906,1.0,9.333400000000001e-05,0.000280002,0.000280002,9.314935,67.796425,,,20000,303.9
0.8433539,,,25.168884,26.929916,0.00575262277737681,0.30687517,1000.0,19.998781257831855,-1593.1478371252024,1.0,9.300066666666667e-05,0.000279002,0.000279002,8.868337,60.653984,,,21000,248.2
0.80533856,,,17.220798,18.803396,0.00575262277737681,0.44866347,1000.0,23.687533110331543,-1564.0761100022023,1.0,9.266733333333333e-05,0.00027800199999999996,0.00027800199999999996,8.575976,56.139668,,,22000,255.5
