alpha,alpha3,batch_size,critic1_error,critic2_error,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
1.0158703,0.5,256,1458.6028,1261.7461,0.0,-31.894804,1000.0,441.4047919210085,-2974.124930512361,1.0,9.966733333333334e-05,0.000299002,0.000299002,7.1285806,124.846436,-2,0.005,1000,640.0
1.0201575,,,775.1631,676.0899,0.0,-17.072525,1000.0,367.798866541433,-2528.389987961855,1.0,9.933400000000001e-05,0.00029800199999999996,0.00029800199999999996,9.465222,141.7608,,,2000,492.0
1.0205204,,,533.8834,468.47086,0.05804178966365164,-11.188939,1000.0,795.1985393137444,-2303.751580179416,1.0,9.900066666666668e-05,0.000297002,0.000297002,11.523734,149.90204,,,3000,512.3333333333334
1.0188897,,,423.50812,374.7335,0.12826099549036368,-8.195621,1000.0,771.3050260326957,-2198.801892048271,1.0,9.866733333333333e-05,0.00029600199999999996,0.00029600199999999996,14.373939,151.93999,,,4000,507.25
1.0159706,,,360.72263,322.3613,0.10322727805142191,-6.41644,1000.0,667.1574247478412,-2123.216030668177,1.0,9.8334e-05,0.000295002,0.000295002,15.961904,151.38043,,,5000,483.6
1.0120841,,,316.503,285.37018,0.08602273170951825,-5.282854,1000.0,569.430531622127,-2053.702987301682,1.0,9.800066666666668e-05,0.00029400199999999997,0.00029400199999999997,16.418863,147.62398,,,6000,444.0
1.0075033,,,279.6712,253.20274,0.07373377003672994,-4.5185533,1000.0,488.5661744728259,-1994.7401206501822,1.0,9.766733333333333e-05,0.00029300199999999994,0.00029300199999999994,16.263426,141.7413,,,7000,388.7142857142857
1.0022525,,,251.60918,228.04765,0.0645170487821387,-3.9483392,1000.0,427.4956263461738,-1946.479260622415,1.0,9.7334e-05,0.000292002,0.000292002,16.286583,134.71327,,,8000,353.0
0.99617505,,,228.56683,207.37407,0.05734848780634551,-3.5011654,1000.0,379.99640909265213,-1907.0912132646206,1.0,9.700066666666667e-05,0.000291002,0.000291002,16.36494,127.60901,,,9000,339.22222222222223
0.9891281,,,209.21426,189.58696,0.05161363902571096,-3.1435294,1000.0,341.99700814122934,-1870.8147718188782,1.0,9.666733333333335e-05,0.000290002,0.000290002,16.309496,120.80668,,,10000,333.1
0.97743857,,,66.62296,65.93082,0.05161363902571096,0.08059709,1000.0,297.8566592311596,-1726.9301775457866,1.0,9.6334e-05,0.00028900199999999995,0.00028900199999999995,17.094107,113.530846,,,11000,287.5
